room_id,order,url,content,create_time,user_id,risk_label_name,user_count,status
room_001,1,https://example.com/image1.jpg,,2024-01-01 10:00:00,,风险标签A,5,active
room_002,2,https://example.com/image2.jpg,,2024-01-01 11:00:00,,,3,active
room_001,1,,你好，大家好,2024-01-01 10:30:00,user001,风险标签A,5,active
room_001,1,,大家好！很高兴加入,2024-01-01 10:31:00,user002,风险标签B,5,active
room_001,1,,欢迎加入聊天室,2024-01-01 11:00:00,user003,风险标签A,5,active
room_001,1,http://voice-stream.oss-cn-hangzhou.aliyuncs.com/POST_VIDEOSTREAM%2FPOST_VIDEOSTREAM_AUDIO%2F20251025%2Fsample.mp3?Expires=1763989997&OSSAccessKeyId=LTAI4GCEw42chQY7RgPbGxhv&Signature=Test,2024-01-01 11:00:00,,风险标签A,7,active
room_001,1,,有什么问题吗？,2024-01-01 16:10:00,user003,风险标签A,8,active
room_001,1,https://example.com/audio1.mp3,,2024-01-01 16:10:00,,风险标签A,7,active
room_003,3,https://example.com/image3.jpg,,2024-01-01 13:00:00,,,2,active
room_002,2,https://example.com/audio2.mp3,,2024-01-01 14:00:00,,,4,active
room_004,4,https://example.com/image4.jpg,,2024-01-01 15:00:00,,风险标签C,6,active
room_001,1,https://example.com/image5.jpg,,2024-01-01 16:00:00,,风险标签B,8,active
room_005,5,https://example.com/image6.jpg,,2024-01-01 17:00:00,,,1,active
room_003,3,https://example.com/audio3.mp3,,2024-01-01 18:00:00,,,3,active
room_001,1,https://example.com/image7.jpg,,2024-01-01 19:00:00,,风险标签C,9,active


